original,item_as_in_the_list,item_type,item_genus,genre,object_form,object_genus,autor,title,ident,time,Edition,publisher_all,publishing,media,web-media,person_public,city_of_publication,year_of_publication,storage_medium,Узкая оценка,Узкая оценка-2,Доп. подробности,Сомнительность,url,court,date_of_design,add_date,lemmatized,predicted
"Видеоматериалы: bom 1, Brannik Whit Power, HONOP Full Of Hate, Skinhead, VIVAT ROSSIA, Банда Москвы – Русский солдат, Митинг, Последний бой, «УЛЬТИМАТУМ», Прямое действие; аудиоматериалы: Б.И.-14 Коловрат «Правый бритоголовый», Б.И.-14 Банда Москвы «Салютуй моей стране», Б.И.-14 Киборг «Слава России», Б.И.-14 Циклон Б «Это наш век», Б.И.-14 – ДИВ «Злой хер», Б.И.-14 – «Скороспилсия Трепещите», Б.И.-14 – Доберман «За новый рассвет», Б.И.-14 – доберман «Черное пятно», Б.И.-14 – Сленг «Чеченский террор», Б.И.-14 – Склеп «Патриот», Б.И.-14 – Духи цеха «N.D», Коловрат – Россия, Банда Москвы – Арийский Легион, Вандал – Наш Путь, Коловрат – Московский Скинхеды, Позиция – Без _палева-bg, Коловрат – Наша страна, Банда Москвы – Уличный бой, CWT – 15 Суток, Позиция – Dont stop hooligans-bg, Коловрат – Бесстрашный, Белый и Гордый, Коловрат – Девятый Вал, Циклон Б - Ты Skinhead и я",Видеоматериал,Видеоролик,Видеоролик,Публицистика,видео,файл,,УЛЬТИМАТУМ,,,,,,,,,,,не указан,Русский национализм,Расизм,,0.0,,Вилючинский городской суд Камчатского края,2013-10-10 00:00:00,2014-01-24,пятно чеченский страна москва коловрат циклон цех правый сутки уличный палево трепетать скороспилсия арийский банда склеп путь террор действие хер новый бритоголовый легион белый последний гордый скинхед киборг бой русский доберман салютовать сленг московский слава век ультиматум злой вандал девятый россия патриот бесстрашный солдат видеоматериал вал позиция аудиоматериал дух прямой рассвет диво митинг черный,Национальная рознь
"Видеоматериалы: bom 1, Brannik Whit Power, HONOP Full Of Hate, Skinhead, VIVAT ROSSIA, Банда Москвы – Русский солдат, Митинг, Последний бой, «УЛЬТИМАТУМ», Прямое действие; аудиоматериалы: Б.И.-14 Коловрат «Правый бритоголовый», Б.И.-14 Банда Москвы «Салютуй моей стране», Б.И.-14 Киборг «Слава России», Б.И.-14 Циклон Б «Это наш век», Б.И.-14 – ДИВ «Злой хер», Б.И.-14 – «Скороспилсия Трепещите», Б.И.-14 – Доберман «За новый рассвет», Б.И.-14 – доберман «Черное пятно», Б.И.-14 – Сленг «Чеченский террор», Б.И.-14 – Склеп «Патриот», Б.И.-14 – Духи цеха «N.D», Коловрат – Россия, Банда Москвы – Арийский Легион, Вандал – Наш Путь, Коловрат – Московский Скинхеды, Позиция – Без _палева-bg, Коловрат – Наша страна, Банда Москвы – Уличный бой, CWT – 15 Суток, Позиция – Dont stop hooligans-bg, Коловрат – Бесстрашный, Белый и Гордый, Коловрат – Девятый Вал, Циклон Б - Ты Skinhead и я",Видеоматериал,Видеоролик,Видеоролик,Публицистика,видео,файл,Формат-18,Прямое действие,,,,,,,,,,,не указан,Русский национализм,Расизм,,0.0,,Вилючинский городской суд Камчатского края,2013-10-10 00:00:00,2014-01-24,пятно чеченский страна москва коловрат циклон цех правый сутки уличный палево трепетать скороспилсия арийский банда склеп путь террор действие хер новый бритоголовый легион белый последний гордый скинхед киборг бой русский доберман салютовать сленг московский слава век ультиматум злой вандал девятый россия патриот бесстрашный солдат видеоматериал вал позиция аудиоматериал дух прямой рассвет диво митинг черный,Национальная рознь
"Видеоматериалы (видеосюжеты), содержащиеся в файлах «Film.avi.55», «Панехида-min.fiv», «VTS_01_1.VOB», «VTS_01_2.VOB», «VTS_01_3.VOB»",Видеоматериал (видеосюжет),Видеоролик,Видеоролик,Публицистика,видео,файл,,Film.avi.55,0.0,,,DVD,DVD,DVD,,DVD,,,Цифровой носитель,,,,0.0,,Олонецкий районный суд Республики Карелия,2013-08-14 00:00:00,2014-03-24,видеосюжет содержаться видеоматериал файл панехида,Национальная рознь
"Видеоматериалы (видеосюжеты), содержащиеся в файлах «Film.avi.55», «Панехида-min.fiv», «VTS_01_1.VOB», «VTS_01_2.VOB», «VTS_01_3.VOB»",Видеоматериал (видеосюжет),Видеоролик,Видеоролик,Публицистика,видео,файл,,Панехида-min.fiv,,,,DVD,DVD,DVD,,DVD,,,Цифровой носитель,,,,0.0,,Олонецкий районный суд Республики Карелия,2013-08-14 00:00:00,2014-03-24,видеосюжет содержаться видеоматериал файл панехида,Национальная рознь
"Видеоматериалы (видеосюжеты), содержащиеся в файлах «Film.avi.55», «Панехида-min.fiv», «VTS_01_1.VOB», «VTS_01_2.VOB», «VTS_01_3.VOB»",Видеоматериал (видеосюжет),Видеоролик,Видеоролик,Публицистика,видео,файл,,VTS_01_1.VOB,0.0,,,DVD,DVD,DVD,,DVD,,,Цифровой носитель,,,,0.0,,Олонецкий районный суд Республики Карелия,2013-08-14 00:00:00,2014-03-24,видеосюжет содержаться видеоматериал файл панехида,Национальная рознь
"Видеоматериалы (видеосюжеты), содержащиеся в файлах «Film.avi.55», «Панехида-min.fiv», «VTS_01_1.VOB», «VTS_01_2.VOB», «VTS_01_3.VOB»",Видеоматериал (видеосюжет),Видеоролик,Видеоролик,Публицистика,видео,файл,,VTS_01_2.VOB,0.0,,,DVD,DVD,DVD,,DVD,,,Цифровой носитель,,,,0.0,,Олонецкий районный суд Республики Карелия,2013-08-14 00:00:00,2014-03-24,видеосюжет содержаться видеоматериал файл панехида,Национальная рознь
"Видеоматериалы (видеосюжеты), содержащиеся в файлах «Film.avi.55», «Панехида-min.fiv», «VTS_01_1.VOB», «VTS_01_2.VOB», «VTS_01_3.VOB»",Видеоматериал (видеосюжет),Видеоролик,Видеоролик,Публицистика,видео,файл,,VTS_01_3.VOB,0.0,,,DVD,DVD,DVD,,DVD,,,Цифровой носитель,,,,0.0,,Олонецкий районный суд Республики Карелия,2013-08-14 00:00:00,2014-03-24,видеосюжет содержаться видеоматериал файл панехида,Национальная рознь
"Информация, распространяемая посредством сети «Интернет» на странице demotivation.me/2gv7w181aqg0pic.htm1#.UoXucGi3kiF на Интернет-сайте www.demotivation.me",Информация,Постер,Изображение,Агитматериал,изображение,файл,,Постер на Демотиваторе,0.0,,,,,,demotivation.me,,,,Удаленный сервер,???,,,0.0,demotivation.me/2gv7w181aqg0pic.htm1#.UoXucGi3kiF,Пушкинский районный суд Санкт-Петербурга,2014-03-12 00:00:00,2014-08-01,информация интернет распространять сайт сеть страница,Национальная рознь
"Видеоролик «Видео уже в СМИ. Ведется расследование», размещенный на сайте социальной сети информационно-телекоммуникационной сети «Интернет» по электронному адресу: www.youtube.com http://www.youtube.com/watch?v=1BBhYaKA9Qw",Видеоролик,Видеоролик,Видеоролик,Публицистика,видео,файл,,Видео уже в СМИ. Ведется расследование,0.0,,,,,,youtube.com,,,,Удаленный сервер,???,,,0.0,youtube.com/watch?v=1BBhYaKA9Qw,Кировский районный суд Санкт-Петербурга,2014-03-03 00:00:00,2014-08-01,электронный социальный расследование вестись интернет адрес размещать информационный сайт сеть сми телекоммуникационный видео видеоролик,Национальная рознь
"Интернет-сайт, имеющий адрес http://www.fedspisok.org, и содержащиеся на нем информационные материалы",Интернет-сайт и размещенные на нем материалы,Веб-сайт целиком,Веб-сайт,Публицистика,мультимедиа,веб-сайт,,Сайт о Списке МинЮста,0.0,,,,,,fedspisok.org,,,,Удаленный сервер,,,Републикация Списка МинЮста с активными ссылками и материалами,1.0,fedspisok.org,Славгородский городской суд Алтайского края,2014-05-21 00:00:00,2014-08-15,содержаться иметь интернет адрес информационный сайт материал немой,Национальная рознь
