original,item_as_in_the_list,item_type,item_genus,genre,object_form,object_genus,autor,title,ident,time,Edition,publisher_all,publishing,media,web-media,person_public,city_of_publication,year_of_publication,storage_medium,Узкая оценка,Узкая оценка-2,Доп. подробности,Сомнительность,url,court,date_of_design,add_date,lemmatized,predicted
"Информационные материалы 10 июля 2015 года в 17:50:30 неустановленным лицом, на сайте социальной сети «Вконтакте», странице под именем «Ано Ним» по электронному адресу www.vk.com/id235719485",Информационный материал,Страница соц.сети,Аккаунт соц.сети / группа,Публицистика,мультимедиа,веб-сайт,,"Аккаунт ВК ""Ано Ним""",0.0,,,"Страница ВК ""Ано Ним""",,,vk.com,"Страница ВК ""Ано Ним""",,2015,Удаленный сервер,???,,,0.0,vk.com/id235719485,Северодвинский городской суд Архангельской области,2015-11-09 00:00:00,2016-03-23,июль электронный социальный адрес информационный имя лицо неустановленный материал сайт сеть страница год вконтакте ано,Национальная рознь
"Информационный материал, размещенный на Интернет – сайте http://vk.com/video221512614_167303489",Информационный материал,Видеоролик,Видеоролик,Публицистика,видео,файл,,Неидентифицированный ролик в ВК,0.0,,,,,,vk.com,,,,Удаленный сервер,???,,,0.0,vk.com/video221512614_167303489,Хорошевский районный суд Москвы,2015-11-30 00:00:00,2016-04-11,интернет информационный сайт материал размещать,Национальная рознь
"Информация, размещенная на Интернет - странице http://ok.ru/profile/376483713587 сайта «Одноклассники»",Информация на Интернет-странице,Страница соц.сети,Веб-сайт,Публицистика,мультимедиа,веб-сайт,,Страница в ОК - ok.ru/profile/376483713587,,,,,,,ok.ru,,,,Удаленный сервер,???,,,0.0,ok.ru/profile/376483713587,Магасский районный суд Республики Ингушетия,2016-03-31 00:00:00,2016-07-04,одноклассник информация интернет сайт страница размещать,Национальная рознь
"Информационный материал: «Твой выбор», размещенный в социальной сети «ВКонтакте» по адресу: vk.com/wall-70221596?offset=140, а также по адресу: mybiblioteka.su",Информационный материал,Стихотворение,Литературное произведение,Художественный текст,текст,отдельная веб-страница,,Твой выбор,,,,,,,vk.com,,,,Удаленный сервер,???,,"Данные изъяты, кого призывает уничтожать текст, понять нельзя",0.0,vk.com/wall-70221596?offset=140,Октябрьский районный суд Мурманска,2016-04-22 00:00:00,2016-07-28,социальный адрес информационный выбор материал сеть вконтакте размещать,Национальная рознь
"Информационный материал: «Твой выбор», размещенный в социальной сети «ВКонтакте» по адресу: vk.com/wall-70221596?offset=140, а также по адресу: mybiblioteka.su",Информационный материал,Стихотворение,Литературное произведение,Художественный текст,текст,отдельная веб-страница,,Твой выбор,,,,,,,mybiblioteka.su,,,,Удаленный сервер,???,,"Данные изъяты, кого призывает уничтожать текст, понять нельзя",0.0,mybiblioteka.su,Октябрьский районный суд Мурманска,2016-04-22 00:00:00,2016-07-28,социальный адрес информационный выбор материал сеть вконтакте размещать,Национальная рознь
"Видеофайл «Застрахуй братуху», размещенный в сети Интернет на странице в социальной сети «Вконтакте» по адресу: http://vk.com/id30535773",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,Застрахуй братуху,0.0,,,,,,vk.com,,,,Удаленный сервер,???,,,0.0,vk.com/id30535773,Мегионский городской суд Ханты-Мансийского АО,2015-03-13 00:00:00,2018-10-30,социальный адрес братуха интернет видеофайл сеть страница вконтакте размещать застраховывать,Национальная рознь
"Печатный материал, оформленный в виде брошюры под названием «Последняя битва»",Брошюра,Брошюра,Непериодическое издание,Публицистика,текст,непериодическое издание,,Последняя битва,,,,,,,,,,,Бумага,???,,,0.0,,Тагилстроевский районный суд Нижнего Тагила Свердловской области,2014-04-23 00:00:00,2018-12-05,печатный битва оформлять вид материал брошюра название последний,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""0abc3bll50cc-136345083. vk. flv""",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""0ba556dbel. flv"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Аудиофайл,Музыкальная композиция,Текст песни,Художественный текст,аудио,файл,not identified,"аудиофайл ""3bdca2a5ae72. mp3"", ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""3d5976833e03-81899545. vk. flv"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
